mol_id,score,interaction_count,priority_score,cluster_id,substitution_signature,smiles,R1,R2,R3,R4,R5,R6,R8,R9,R10,R11,R12,R13,R14,R15,R16,R21,R23,R25,R26,R27,R28,R31,R33,R34,R36,R37,R39,R40,R42,R43
LN06129736_6383,-12.367191830431214,2.0,0.5085851385484744,,R2=[H].[H] | R3=[H].[H] | R4=[H].[H] | R5=[H].[H] | R8=[H].[H] | R10=[H] | R11=[H].[H] | R12=[H] | R13=[H] | R14=[H] | R15=[H] | R16=[H] | R21=[H]C([H])[H] | R23=[H] | R25=[H] | R26=[H] | R27=[H]NC([H])([H])[H] | R28=[H] | R31=[H].[H]C([H])[H] | R33=[H].[H] | R34=[H].[H] | R36=[H] | R37=[H].[H] | R39=F | R40=[H] | R42=[H] | R43=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCC6(CCc7ccccc76)CC5)cc4F)CC2)n3C)c(=O)c1,,[H].[H],[H].[H],[H].[H],[H].[H],,[H].[H],,[H],[H].[H],[H],[H],[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-46799994_33766,-10.816651693578805,2.0,0.43310448464587287,,R1=Br | R2=[H] | R3=[H] | R5=[H].[H] | R6=[H].[H] | R8=[H].[H] | R9=[H].[H] | R11=[H].[H] | R12=[H].[H] | R14=[H] | R15=[H] | R16=[H] | R21=[H]C([H])[H] | R23=[H] | R25=[H] | R26=[H] | R27=[H]NC([H])([H])[H] | R28=[H] | R31=[H].[H]C([H])[H] | R33=[H].[H] | R34=[H].[H] | R36=[H] | R37=[H].[H] | R39=F | R40=[H] | R42=[H] | R43=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCC6(CCc7ccc(Br)cc76)CC5)cc4F)CC2)n3C)c(=O)c1,Br,[H],[H],,[H].[H],[H].[H],[H].[H],[H].[H],,[H].[H],[H].[H],,[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
