mol_id,score,interaction_count,priority_score,cluster_id,substitution_signature,smiles,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R16,R18,R20,R21,R22,R23,R26,R28,R29,R31,R32,R34,R35,R37,R38
EN300-7355477_20479,-12.12451085795752,4.0,0.8967713724571182,,R1=[H].[H]O | R2=[H].[H] | R3=[H] | R4=[H].[H] | R6=[H].[H] | R7=[H] | R8=[H].[H] | R9=[H].[H]O | R10=[H] | R11=[H] | R16=[H]C([H])[H] | R18=[H] | R20=[H] | R21=[H] | R22=[H]NC([H])([H])[H] | R23=[H] | R26=[H].[H]C([H])[H] | R28=[H].[H] | R29=[H].[H] | R31=[H] | R32=[H].[H] | R34=F | R35=[H] | R37=[H] | R38=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@H]6C[C@@H](O)[C@H](O)C[C@@H]6C5)cc4F)CC2)n3C)c(=O)c1,[H].[H]O,[H].[H],[H],[H].[H],,[H].[H],[H],[H].[H],[H].[H]O,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-7355477_20477,-12.014263949269893,3.0,0.6914045273425022,,R1=[H].[H]O | R2=[H].[H] | R3=[H] | R4=[H].[H] | R6=[H].[H] | R7=[H] | R8=[H].[H] | R9=[H].[H]O | R10=[H] | R11=[H] | R16=[H]C([H])[H] | R18=[H] | R20=[H] | R21=[H] | R22=[H]NC([H])([H])[H] | R23=[H] | R26=[H].[H]C([H])[H] | R28=[H].[H] | R29=[H].[H] | R31=[H] | R32=[H].[H] | R34=F | R35=[H] | R37=[H] | R38=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@H]6C[C@H](O)[C@H](O)C[C@H]6C5)cc4F)CC2)n3C)c(=O)c1,[H].[H]O,[H].[H],[H],[H].[H],,[H].[H],[H],[H].[H],[H].[H]O,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-52473565_41857,-11.325970199831998,3.0,0.6578982277957457,,R1=[H].[H]O | R2=[H].[H] | R3=[H].[H] | R4=[H].[H] | R5=[H] | R6=[H].[H] | R8=[H].[H] | R9=F | R10=[H] | R11=[H] | R16=[H]C([H])[H] | R18=[H] | R20=[H] | R21=[H] | R22=[H]NC([H])([H])[H] | R23=[H] | R26=[H].[H]C([H])[H] | R28=[H].[H] | R29=[H].[H] | R31=[H] | R32=[H].[H] | R34=F | R35=[H] | R37=[H] | R38=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@H]6CCC[C@H](O)[C@]6(F)C5)cc4F)CC2)n3C)c(=O)c1,[H].[H]O,[H].[H],[H].[H],[H].[H],[H],[H].[H],,[H].[H],F,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-39913932_30687,-12.52649626860646,2.0,0.5163401155898709,,R2=[H].[H] | R3=[H].[H] | R4=[H] | R5=[H] | R6=[H].[H] | R7=[H].[H][N+]([H])C([H])([H])[H] | R8=[H].[H] | R9=[H].[H] | R10=[H] | R11=[H] | R16=[H]C([H])[H] | R18=[H] | R20=[H] | R21=[H] | R22=[H]NC([H])([H])[H] | R23=[H] | R26=[H].[H]C([H])[H] | R28=[H].[H] | R29=[H].[H] | R31=[H] | R32=[H].[H] | R34=F | R35=[H] | R37=[H] | R38=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@H]6CCC[C@H]([NH2+]C)[C@@H]6C5)cc4F)CC2)n3C)c(=O)c1,,[H].[H],[H].[H],[H],[H],[H].[H],[H].[H][N+]([H])C([H])([H])[H],[H].[H],[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
LN00215167_818,-12.156118384132643,2.0,0.4983100341706971,,R1=[H].[H]O | R2=[H].[H] | R3=[H].[H] | R4=[H] | R5=[H].[H] | R6=[H] | R7=[H].[H] | R8=[H].[H] | R10=[H] | R11=[H] | R16=[H]C([H])[H] | R18=[H] | R20=[H] | R21=[H] | R22=[H]NC([H])([H])[H] | R23=[H] | R26=[H].[H]C([H])[H] | R28=[H].[H] | R29=[H].[H] | R31=[H] | R32=[H].[H] | R34=F | R35=[H] | R37=[H] | R38=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@@H]6CC[C@@H](O)C[C@H]6C5)cc4F)CC2)n3C)c(=O)c1,[H].[H]O,[H].[H],[H].[H],[H],[H].[H],[H],[H].[H],[H].[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-7134674_23800,-12.136407483384266,2.0,0.4973505029453287,,R1=[H].[H]C([H])[H] | R3=[H].[H] | R4=[H] | R5=[H].[H] | R6=[H].[H] | R7=[H].[H] | R8=[H].[H] | R9=[H] | R10=[H] | R11=[H] | R16=[H]C([H])[H] | R18=[H] | R20=[H] | R21=[H] | R22=[H]NC([H])([H])[H] | R23=[H] | R26=[H].[H]C([H])[H] | R28=[H].[H] | R29=[H].[H] | R31=[H] | R32=[H].[H] | R34=F | R35=[H] | R37=[H] | R38=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@@H]6CCCC[C@@H]6[C@@H]5C)cc4F)CC2)n3C)c(=O)c1,[H].[H]C([H])[H],,[H].[H],[H],[H].[H],[H].[H],[H].[H],[H].[H],[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
LN00215167_825,-12.115654101790014,2.0,0.4963402235103156,,R1=[H].[H]O | R2=[H].[H] | R3=[H].[H] | R4=[H] | R5=[H].[H] | R6=[H] | R7=[H].[H] | R8=[H].[H] | R10=[H] | R11=[H] | R16=[H]C([H])[H] | R18=[H] | R20=[H] | R21=[H] | R22=[H]NC([H])([H])[H] | R23=[H] | R26=[H].[H]C([H])[H] | R28=[H].[H] | R29=[H].[H] | R31=[H] | R32=[H].[H] | R34=F | R35=[H] | R37=[H] | R38=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@H]6CC[C@H](O)C[C@@H]6C5)cc4F)CC2)n3C)c(=O)c1,[H].[H]O,[H].[H],[H].[H],[H],[H].[H],[H],[H].[H],[H].[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-7134674_23797,-12.105224122256883,2.0,0.49583248968476656,,R1=[H].[H]C([H])[H] | R3=[H].[H] | R4=[H] | R5=[H].[H] | R6=[H].[H] | R7=[H].[H] | R8=[H].[H] | R9=[H] | R10=[H] | R11=[H] | R16=[H]C([H])[H] | R18=[H] | R20=[H] | R21=[H] | R22=[H]NC([H])([H])[H] | R23=[H] | R26=[H].[H]C([H])[H] | R28=[H].[H] | R29=[H].[H] | R31=[H] | R32=[H].[H] | R34=F | R35=[H] | R37=[H] | R38=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@H]6CCCC[C@H]6[C@H]5C)cc4F)CC2)n3C)c(=O)c1,[H].[H]C([H])[H],,[H].[H],[H],[H].[H],[H].[H],[H].[H],[H].[H],[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-7355477_20478,-12.05012878055282,2.0,0.49315043565728933,,R1=[H].[H]O | R2=[H].[H] | R3=[H] | R4=[H].[H] | R6=[H].[H] | R7=[H] | R8=[H].[H] | R9=[H].[H]O | R10=[H] | R11=[H] | R16=[H]C([H])[H] | R18=[H] | R20=[H] | R21=[H] | R22=[H]NC([H])([H])[H] | R23=[H] | R26=[H].[H]C([H])[H] | R28=[H].[H] | R29=[H].[H] | R31=[H] | R32=[H].[H] | R34=F | R35=[H] | R37=[H] | R38=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@H]6C[C@@H](O)[C@@H](O)C[C@H]6C5)cc4F)CC2)n3C)c(=O)c1,[H].[H]O,[H].[H],[H],[H].[H],,[H].[H],[H],[H].[H],[H].[H]O,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-7134674_23796,-11.940522610387344,2.0,0.4878147818427132,,R1=[H].[H]C([H])[H] | R3=[H].[H] | R4=[H] | R5=[H].[H] | R6=[H].[H] | R7=[H].[H] | R8=[H].[H] | R9=[H] | R10=[H] | R11=[H] | R16=[H]C([H])[H] | R18=[H] | R20=[H] | R21=[H] | R22=[H]NC([H])([H])[H] | R23=[H] | R26=[H].[H]C([H])[H] | R28=[H].[H] | R29=[H].[H] | R31=[H] | R32=[H].[H] | R34=F | R35=[H] | R37=[H] | R38=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@@H]6CCCC[C@H]6[C@@H]5C)cc4F)CC2)n3C)c(=O)c1,[H].[H]C([H])[H],,[H].[H],[H],[H].[H],[H].[H],[H].[H],[H].[H],[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
LN00001583_2239,-11.930738912246841,2.0,0.4873385091454261,,R2=[H].[H] | R3=[H].[H] | R4=[H] | R5=[H] | R6=[H].[H] | R7=[H].[H] | R8=[H].[H] | R9=[H].[H] | R10=[H] | R11=[H] | R16=[H]C([H])[H] | R18=[H] | R20=[H] | R21=[H] | R22=[H]NC([H])([H])[H] | R23=[H] | R26=[H].[H]C([H])[H] | R28=[H].[H] | R29=[H].[H] | R31=[H] | R32=[H].[H] | R34=F | R35=[H] | R37=[H] | R38=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@H]6CCCC[C@@H]6C5)cc4F)CC2)n3C)c(=O)c1,,[H].[H],[H].[H],[H],[H],[H].[H],[H].[H],[H].[H],[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-46644000_33626,-11.893865986293871,2.0,0.48554352654801824,,R1=[H].[H]C([H])([H])O | R2=[H].[H] | R3=[H].[H] | R4=[H].[H] | R5=[H] | R6=[H].[H] | R8=[H].[H] | R9=[H] | R10=[H] | R11=[H] | R16=[H]C([H])[H] | R18=[H] | R20=[H] | R21=[H] | R22=[H]NC([H])([H])[H] | R23=[H] | R26=[H].[H]C([H])[H] | R28=[H].[H] | R29=[H].[H] | R31=[H] | R32=[H].[H] | R34=F | R35=[H] | R37=[H] | R38=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@@H]6CCC[C@H](OC)[C@@H]6C5)cc4F)CC2)n3C)c(=O)c1,[H].[H]C([H])([H])O,[H].[H],[H].[H],[H].[H],[H],[H].[H],,[H].[H],[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-6488083_14694,-11.715752104129198,2.0,0.47687290140560035,,R1=FC(F)F | R2=[H].[H] | R4=[H].[H] | R5=[H] | R6=[H].[H] | R7=[H].[H] | R8=[H].[H] | R9=[H].[H] | R10=[H] | R11=[H] | R16=[H]C([H])[H] | R18=[H] | R20=[H] | R21=[H] | R22=[H]NC([H])([H])[H] | R23=[H] | R26=[H].[H]C([H])[H] | R28=[H].[H] | R29=[H].[H] | R31=[H] | R32=[H].[H] | R34=F | R35=[H] | R37=[H] | R38=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@H]6CCCC[C@@]6(C(F)(F)F)C5)cc4F)CC2)n3C)c(=O)c1,FC(F)F,[H].[H],,[H].[H],[H],[H].[H],[H].[H],[H].[H],[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-861924_22960,-11.707663203294336,2.0,0.4764791318346895,,R1=[H].[H][N+](C([H])([H])[H])C([H])([H])[H] | R2=[H].[H] | R3=[H].[H] | R4=[H] | R5=[H].[H] | R7=[H].[H] | R8=[H] | R9=[H].[H] | R10=[H] | R11=[H] | R16=[H]C([H])[H] | R18=[H] | R20=[H] | R21=[H] | R22=[H]NC([H])([H])[H] | R23=[H] | R26=[H].[H]C([H])[H] | R28=[H].[H] | R29=[H].[H] | R31=[H] | R32=[H].[H] | R34=F | R35=[H] | R37=[H] | R38=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@H]6CC[C@H]([NH+](C)C)C[C@@H]6C5)cc4F)CC2)n3C)c(=O)c1,[H].[H][N+](C([H])([H])[H])C([H])([H])[H],[H].[H],[H].[H],[H],[H].[H],,[H].[H],[H],[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-26621536_26508,-11.573355359958382,2.0,0.4699409948343629,,R1=[H].[H]C([H])[H] | R3=[H].[H]C([H])[H] | R4=[H] | R5=[H].[H] | R6=[H].[H] | R7=[H].[H] | R8=[H].[H] | R9=[H] | R10=[H] | R11=[H] | R16=[H]C([H])[H] | R18=[H] | R20=[H] | R21=[H] | R22=[H]NC([H])([H])[H] | R23=[H] | R26=[H].[H]C([H])[H] | R28=[H].[H] | R29=[H].[H] | R31=[H] | R32=[H].[H] | R34=F | R35=[H] | R37=[H] | R38=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5[C@H](C)[C@@H]6CCCC[C@H]6[C@@H]5C)cc4F)CC2)n3C)c(=O)c1,[H].[H]C([H])[H],,[H].[H]C([H])[H],[H],[H].[H],[H].[H],[H].[H],[H].[H],[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
