mol_id,score,interaction_count,priority_score,cluster_id,substitution_signature,smiles,R1,R2,R4,R5,R6,R8,R9,R10,R11,R12,R13,R18,R20,R22,R23,R24,R25,R28,R30,R31,R33,R34,R36,R37,R39,R40
EN300-1706668_20573,-11.027027770305786,2.0,0.4433456409109737,,R1=[H].[H] | R2=[H].[H] | R4=[H].[H] | R5=[H] | R6=[H].[H] | R8=[H].[H] | R9=[H].[H] | R10=[H] | R11=[H].[H] | R12=[H] | R13=[H] | R18=[H]C([H])[H] | R20=[H] | R22=[H] | R23=[H] | R24=[H]NC([H])([H])[H] | R25=[H] | R28=[H].[H]C([H])[H] | R30=[H].[H] | R31=[H].[H] | R33=[H] | R34=[H].[H] | R36=F | R37=[H] | R39=[H] | R40=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CC[N@H+]6CC7(CC7)C[C@H]6C5)cc4F)CC2)n3C)c(=O)c1,[H].[H],[H].[H],[H].[H],[H],[H].[H],[H].[H],[H].[H],[H],[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-1706668_20574,-10.615010531617045,2.0,0.42328854605981947,,R1=[H].[H] | R2=[H].[H] | R4=[H].[H] | R5=[H] | R6=[H].[H] | R8=[H].[H] | R9=[H].[H] | R10=[H] | R11=[H].[H] | R12=[H] | R13=[H] | R18=[H]C([H])[H] | R20=[H] | R22=[H] | R23=[H] | R24=[H]NC([H])([H])[H] | R25=[H] | R28=[H].[H]C([H])[H] | R30=[H].[H] | R31=[H].[H] | R33=[H] | R34=[H].[H] | R36=F | R37=[H] | R39=[H] | R40=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CC[N@@H+]6CC7(CC7)C[C@H]6C5)cc4F)CC2)n3C)c(=O)c1,[H].[H],[H].[H],[H].[H],[H],[H].[H],[H].[H],[H].[H],[H],[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
