mol_index,mol_id,mol_id_norm,smiles,score,score_prop_used,cluster_id,scaffold_id,exact_scaffold_smiles,generic_scaffold_smiles,substitution_signature,substitution_map,mol_png_b64,mol_wt,clogp,tpsa,hbd,hba,rot_bonds,rings,heavy_atoms,formal_charge,is_neutral_ph7,fsp3,filter_mol_wt,filter_rot_bonds,filter_hbd,filter_hba,filter_mol_wt_source,filter_rot_bonds_source,filter_hbd_source,filter_hba_source,interaction_count,external_interaction_count,A467_donor,A467_acceptor,A468_donor,A468_acceptor,A533_donor,A533_acceptor,A473_donor,A473_acceptor,A538_donor,A538_acceptor,A536_donor,A536_acceptor,A470_donor,A470_acceptor,A543_donor,A543_acceptor,interaction_count_source,score_norm,interaction_norm,interaction_term,priority_score,druglike_score,presentation_score,passes_mol_weight_filter,passes_hbd_filter,passes_hba_filter,passes_rotb_filter,passes_formal_charge_filter,passes_neutral_filter,report_eligible,report_exclusion_reason,presentation_score_final,overall_score,priority_rank
479,EN300-45275572_32310,EN300-45275572_32310,CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CC[C@@H](n6c(=O)ccc7ccccc76)C5)cc4F)CC2)n3C)c(=O)c1,-14.245055951326263,r_i_docking_score,,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)N1CCC(n2c(=O)ccc3ccccc32)C1,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)N1CCC(n2c(=O)ccc3ccccc32)C1,CC1CCCCC1C1CCCC2CC(CC3CCC(C4CCC(C(C)C5CCC(C6C(C)CCC7CCCCC76)C5)CC4)CC3)CC21,R3=[H] | R4=[H] | R6=[H] | R7=[H] | R8=[H] | R9=[H] | R12=[H] | R13=[H].[H] | R14=[H].[H] | R16=[H].[H] | R17=[H] | R18=[H] | R23=[H]C([H])[H] | R25=[H] | R27=[H] | R28=[H] | R29=[H]NC([H])([H])[H] | R30=[H] | R33=[H].[H]C([H])[H] | R35=[H].[H] | R36=[H].[H] | R38=[H] | R39=[H].[H] | R41=F | R42=[H] | R44=[H] | R45=[H]C([H])[H],"{2: ('[H]',), 3: ('[H]',), 5: ('[H]',), 6: ('[H]',), 7: ('[H]',), 8: ('[H]',), 11: ('[H]',), 12: ('[H]', '[H]'), 13: ('[H]', '[H]'), 15: ('[H]', '[H]'), 16: ('[H]',), 17: ('[H]',), 22: ('[H]C([H])[H]',), 24: ('[H]',), 26: ('[H]',), 27: ('[H]',), 28: ('[H]NC([H])([H])[H]',), 29: ('[H]',), 32: ('[H]', '[H]C([H])[H]'), 34: ('[H]', '[H]'), 35: ('[H]', '[H]'), 37: ('[H]',), 38: ('[H]', '[H]'), 40: ('F',), 41: ('[H]',), 43: ('[H]',), 44: ('[H]C([H])[H]',)}",,711.8420000000012,6.465820000000007,97.4,1.0,9.0,11.0,8.0,53.0,0.0,True,0.2857142857142857,711.842,11.0,1.0,9.0,MW,RotBonds,HBD,HBA,,,,,,,,,,,,,,,,,,,none,1.0,,,1.0,0.7673880272727267,0.8953246122727271,True,True,True,True,True,True,True,,0.8953246122727271,0.895,1
0,LN04595704_6955,LN04595704_6955,CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCN(c6cccc7ccsc67)CC5)cc4F)CC2)n3C)c(=O)c1,-14.061488687008747,r_i_docking_score,,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)N1CCN(c2cccc3ccsc23)CC1,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)N1CCN(c2cccc3ccsc23)CC1,CC1CCCCC1C1CCCC2CC(CC3CCC(C4CCC(C(C)C5CCC(C6CCCC7CCCC76)CC5)CC4)CC3)CC21,R3=[H] | R6=[H] | R8=[H] | R9=[H] | R10=[H].[H] | R11=[H].[H] | R12=[H] | R13=[H].[H] | R14=[H].[H] | R16=[H] | R17=[H] | R22=[H]C([H])[H] | R24=[H] | R26=[H] | R27=[H] | R28=[H]NC([H])([H])[H] | R29=[H] | R32=[H].[H]C([H])[H] | R34=[H].[H] | R35=[H].[H] | R37=[H] | R38=[H].[H] | R40=F | R41=[H] | R43=[H] | R44=[H]C([H])[H],"{2: ('[H]',), 5: ('[H]',), 7: ('[H]',), 8: ('[H]',), 9: ('[H]', '[H]'), 10: ('[H]', '[H]'), 11: ('[H]',), 12: ('[H]', '[H]'), 13: ('[H]', '[H]'), 15: ('[H]',), 16: ('[H]',), 21: ('[H]C([H])[H]',), 23: ('[H]',), 25: ('[H]',), 26: ('[H]',), 27: ('[H]NC([H])([H])[H]',), 28: ('[H]',), 31: ('[H]', '[H]C([H])[H]'), 33: ('[H]', '[H]'), 34: ('[H]', '[H]'), 36: ('[H]',), 37: ('[H]', '[H]'), 39: ('F',), 40: ('[H]',), 42: ('[H]',), 43: ('[H]C([H])[H]',)}",,715.8990000000013,7.2408200000000065,78.64,1.0,9.0,11.0,8.0,52.0,0.0,True,0.2926829268292683,715.899,11.0,1.0,9.0,MW,RotBonds,HBD,HBA,,,,,,,,,,,,,,,,,,,none,0.9776597573702205,,,0.9776597573702206,0.7466852818181813,0.8737212433718029,True,True,True,True,True,True,True,,0.8737212433718029,0.874,2
480,EN300-125118_39356,EN300-125118_39356,CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)n5ccc6c(C7=CC[NH2+]CC7)ccnc65)cc4F)CC2)n3C)c(=O)c1,-13.971850298748581,r_i_docking_score,,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)n1ccc2c(C3=CC[NH2+]CC3)ccnc21,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)n1ccc2c(C3=CC[NH2+]CC3)ccnc21,CC1CCCCC1C1CCCC2CC(CC3CCC(C4CCC(C(C)C5CCC6C(C7CCCCC7)CCCC56)CC4)CC3)CC21,R1=[H] | R2=[H] | R5=[H] | R6=[H] | R11=[H] | R12=[H].[H] | R13=[H].[H] | R14=[H].[H] | R15=[H].[H] | R16=[H] | R17=[H] | R22=[H]C([H])[H] | R24=[H] | R26=[H] | R27=[H] | R28=[H]NC([H])([H])[H] | R29=[H] | R32=[H].[H]C([H])[H] | R34=[H].[H] | R35=[H].[H] | R37=[H] | R38=[H].[H] | R40=F | R41=[H] | R43=[H] | R44=[H]C([H])[H],"{0: ('[H]',), 1: ('[H]',), 4: ('[H]',), 5: ('[H]',), 10: ('[H]',), 11: ('[H]', '[H]'), 12: ('[H]', '[H]'), 13: ('[H]', '[H]'), 14: ('[H]', '[H]'), 15: ('[H]',), 16: ('[H]',), 21: ('[H]C([H])[H]',), 23: ('[H]',), 25: ('[H]',), 26: ('[H]',), 27: ('[H]NC([H])([H])[H]',), 28: ('[H]',), 31: ('[H]', '[H]C([H])[H]'), 33: ('[H]', '[H]'), 34: ('[H]', '[H]'), 36: ('[H]',), 37: ('[H]', '[H]'), 39: ('F',), 40: ('[H]',), 42: ('[H]',), 43: ('[H]C([H])[H]',)}",,697.8390000000013,5.452420000000004,106.59,1.0,9.0,11.0,8.0,52.0,1.0,False,0.2682926829268293,697.839,11.0,1.0,9.0,MW,RotBonds,HBD,HBA,,,,,,,,,,,,,,,,,,,none,0.9667507134831214,,,0.9667507134831214,0.7973058272727268,0.8905005146884439,True,True,True,True,True,True,True,,0.8905005146884439,0.891,3
1,LN00123762_2488,LN00123762_2488,CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCN(c6nsc7ccccc67)CC5)cc4F)CC2)n3C)c(=O)c1,-13.753890492694534,r_i_docking_score,,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)N1CCN(c2nsc3ccccc23)CC1,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)N1CCN(c2nsc3ccccc23)CC1,CC1CCCCC1C1CCCC2CC(CC3CCC(C4CCC(C(C)C5CCC(C6CCC7CCCCC76)CC5)CC4)CC3)CC21,R6=[H] | R8=[H] | R9=[H] | R10=[H].[H] | R11=[H].[H] | R12=[H] | R13=[H].[H] | R14=[H].[H] | R16=[H] | R17=[H] | R22=[H]C([H])[H] | R24=[H] | R26=[H] | R27=[H] | R28=[H]NC([H])([H])[H] | R29=[H] | R32=[H].[H]C([H])[H] | R34=[H].[H] | R35=[H].[H] | R37=[H] | R38=[H].[H] | R40=F | R41=[H] | R43=[H] | R44=[H]C([H])[H],"{5: ('[H]',), 7: ('[H]',), 8: ('[H]',), 9: ('[H]', '[H]'), 10: ('[H]', '[H]'), 11: ('[H]',), 12: ('[H]', '[H]'), 13: ('[H]', '[H]'), 15: ('[H]',), 16: ('[H]',), 21: ('[H]C([H])[H]',), 23: ('[H]',), 25: ('[H]',), 26: ('[H]',), 27: ('[H]NC([H])([H])[H]',), 28: ('[H]',), 31: ('[H]', '[H]C([H])[H]'), 33: ('[H]', '[H]'), 34: ('[H]', '[H]'), 36: ('[H]',), 37: ('[H]', '[H]'), 39: ('F',), 40: ('[H]',), 42: ('[H]',), 43: ('[H]C([H])[H]',)}",,716.8870000000013,6.635820000000007,91.53,1.0,10.0,11.0,8.0,52.0,0.0,True,0.3,716.887,11.0,1.0,10.0,MW,RotBonds,HBD,HBA,,,,,,,,,,,,,,,,,,,none,0.9402248785588467,,,0.9402248785588468,0.7614869363636358,0.8597928045710019,True,True,True,True,True,True,True,,0.8597928045710019,0.86,4
2,LN02042311_6084,LN02042311_6084,CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCC6(CC5)O[C@H](C(F)(F)F)c5ccccc56)cc4F)CC2)n3C)c(=O)c1,-13.708156800573242,r_i_docking_score,,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)N1CCC2(CC1)OCc1ccccc12,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)N1CCC2(CC1)OCc1ccccc12,CC1CCCCC1C1CCCC2CC(CC3CCC(C4CCC(C(C)C5CCC6(CC5)CCC5CCCCC56)CC4)CC3)CC21,R1=FC(F)F.[H] | R6=[H] | R7=[H].[H] | R8=[H].[H] | R9=[H] | R10=[H] | R11=[H].[H] | R12=[H].[H] | R13=[H] | R15=[H] | R16=[H] | R21=[H]C([H])[H] | R23=[H] | R25=[H] | R26=[H] | R27=[H]NC([H])([H])[H] | R28=[H] | R31=[H].[H]C([H])[H] | R33=[H].[H] | R34=[H].[H] | R36=[H] | R37=[H].[H] | R39=F | R40=[H] | R42=[H] | R43=[H]C([H])[H],"{0: ('FC(F)F', '[H]'), 5: ('[H]',), 6: ('[H]', '[H]'), 7: ('[H]', '[H]'), 8: ('[H]',), 9: ('[H]',), 10: ('[H]', '[H]'), 11: ('[H]', '[H]'), 12: ('[H]',), 14: ('[H]',), 15: ('[H]',), 20: ('[H]C([H])[H]',), 22: ('[H]',), 24: ('[H]',), 25: ('[H]',), 26: ('[H]NC([H])([H])[H]',), 27: ('[H]',), 30: ('[H]', '[H]C([H])[H]'), 32: ('[H]', '[H]'), 33: ('[H]', '[H]'), 35: ('[H]',), 36: ('[H]', '[H]'), 38: ('F',), 39: ('[H]',), 41: ('[H]',), 42: ('[H]C([H])[H]',)}",,754.8290000000012,7.828820000000008,84.63,1.0,8.0,10.0,8.0,55.0,0.0,True,0.35714285714285715,754.829,10.0,1.0,8.0,MW,RotBonds,HBD,HBA,,,,,,,,,,,,,,,,,,,none,0.9346590616788932,,,0.9346590616788932,0.749244554545454,0.8512225334688456,True,True,True,True,True,True,True,,0.8512225334688456,0.851,5
3,LN00070551_1024,LN00070551_1024,CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCC6(CC5)C(=O)N(C)c5ccc(F)cc56)cc4F)CC2)n3C)c(=O)c1,-13.611156632137787,r_i_docking_score,,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)N1CCC2(CC1)C(=O)Nc1ccccc12,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)N1CCC2(CC1)C(=O)Nc1ccccc12,CC1CCCCC1C1CCCC2CC(CC3CCC(C4CCC(C(C)C5CCC6(CC5)C(C)CC5CCCCC56)CC4)CC3)CC21,R1=F | R2=[H] | R3=[H] | R5=[H] | R8=[H]C([H])[H] | R10=[H].[H] | R11=[H].[H] | R13=[H].[H] | R14=[H].[H] | R16=[H] | R17=[H] | R22=[H]C([H])[H] | R24=[H] | R26=[H] | R27=[H] | R28=[H]NC([H])([H])[H] | R29=[H] | R32=[H].[H]C([H])[H] | R34=[H].[H] | R35=[H].[H] | R37=[H] | R38=[H].[H] | R40=F | R41=[H] | R43=[H] | R44=[H]C([H])[H],"{0: ('F',), 1: ('[H]',), 2: ('[H]',), 4: ('[H]',), 7: ('[H]C([H])[H]',), 9: ('[H]', '[H]'), 10: ('[H]', '[H]'), 12: ('[H]', '[H]'), 13: ('[H]', '[H]'), 15: ('[H]',), 16: ('[H]',), 21: ('[H]C([H])[H]',), 23: ('[H]',), 25: ('[H]',), 26: ('[H]',), 27: ('[H]NC([H])([H])[H]',), 28: ('[H]',), 31: ('[H]', '[H]C([H])[H]'), 33: ('[H]', '[H]'), 34: ('[H]', '[H]'), 36: ('[H]',), 37: ('[H]', '[H]'), 39: ('F',), 40: ('[H]',), 42: ('[H]',), 43: ('[H]C([H])[H]',)}",,731.8480000000013,6.353220000000006,95.71000000000001,1.0,8.0,11.0,8.0,54.0,0.0,True,0.3333333333333333,731.848,11.0,1.0,8.0,MW,RotBonds,HBD,HBA,,,,,,,,,,,,,,,,,,,none,0.9228540848708863,,,0.9228540848708863,0.7636556090909086,0.8512147707698963,True,True,True,True,True,True,True,,0.8512147707698963,0.851,6
481,EN300-396886_9149,EN300-396886_9149,CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCN(c6cccc7sc(-c8cccc9sccc89)cc67)CC5)cc4F)CC2)n3C)c(=O)c1,-13.569791654014393,r_i_docking_score,,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)N1CCN(c2cccc3sc(-c4cccc5sccc45)cc23)CC1,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)N1CCN(c2cccc3sc(-c4cccc5sccc45)cc23)CC1,CC1CCCCC1C1CCCC2CC(CC3CCC(C4CCC(C(C)C5CCC(C6CCCC7CC(C8CCCC9CCCC98)CC76)CC5)CC4)CC3)CC21,R1=[H] | R2=[H] | R5=[H] | R6=[H] | R7=[H] | R11=[H] | R14=[H] | R15=[H] | R16=[H] | R20=[H].[H] | R21=[H].[H] | R23=[H].[H] | R24=[H].[H] | R25=[H] | R26=[H] | R31=[H]C([H])[H] | R33=[H] | R35=[H] | R36=[H] | R37=[H]NC([H])([H])[H] | R38=[H] | R41=[H].[H]C([H])[H] | R43=[H].[H] | R44=[H].[H] | R46=[H] | R47=[H].[H] | R49=F | R50=[H] | R52=[H] | R53=[H]C([H])[H],"{0: ('[H]',), 1: ('[H]',), 4: ('[H]',), 5: ('[H]',), 6: ('[H]',), 10: ('[H]',), 13: ('[H]',), 14: ('[H]',), 15: ('[H]',), 19: ('[H]', '[H]'), 20: ('[H]', '[H]'), 22: ('[H]', '[H]'), 23: ('[H]', '[H]'), 24: ('[H]',), 25: ('[H]',), 30: ('[H]C([H])[H]',), 32: ('[H]',), 34: ('[H]',), 35: ('[H]',), 36: ('[H]NC([H])([H])[H]',), 37: ('[H]',), 40: ('[H]', '[H]C([H])[H]'), 42: ('[H]', '[H]'), 43: ('[H]', '[H]'), 45: ('[H]',), 46: ('[H]', '[H]'), 48: ('F',), 49: ('[H]',), 51: ('[H]',), 52: ('[H]C([H])[H]',)}",,848.0860000000005,10.122519999999996,78.64,1.0,10.0,12.0,10.0,61.0,0.0,True,0.24489795918367346,848.086,12.0,1.0,10.0,MW,RotBonds,HBD,HBA,,,,,,,,,,,,,,,,,,,none,0.9178199430205523,,,0.9178199430205523,0.5824445818181817,0.7669010304794855,True,True,True,True,True,True,True,,0.7669010304794855,0.767,7
4,LN00169019_2545,LN00169019_2545,CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)n5ccc6c(c5=O)CC[NH2+]C6)cc4F)CC2)n3C)c(=O)c1,-13.522939539779777,r_i_docking_score,,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)n1ccc2c(c1=O)CC[NH2+]C2,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)n1ccc2c(c1=O)CC[NH2+]C2,CC1CCCCC1C1CCCC2CC(CC3CCC(C4CCC(C(C)C5CCC6CCCCC6C5C)CC4)CC3)CC21,R5=[H] | R7=[H].[H] | R8=[H] | R9=[H].[H] | R10=[H].[H] | R11=[H].[H] | R12=[H] | R13=[H] | R18=[H]C([H])[H] | R20=[H] | R22=[H] | R23=[H] | R24=[H]NC([H])([H])[H] | R25=[H] | R28=[H].[H]C([H])[H] | R30=[H].[H] | R31=[H].[H] | R33=[H] | R34=[H].[H] | R36=F | R37=[H] | R39=[H] | R40=[H]C([H])[H],"{4: ('[H]',), 6: ('[H]', '[H]'), 7: ('[H]',), 8: ('[H]', '[H]'), 9: ('[H]', '[H]'), 10: ('[H]', '[H]'), 11: ('[H]',), 12: ('[H]',), 17: ('[H]C([H])[H]',), 19: ('[H]',), 21: ('[H]',), 22: ('[H]',), 23: ('[H]NC([H])([H])[H]',), 24: ('[H]',), 27: ('[H]', '[H]C([H])[H]'), 29: ('[H]', '[H]'), 30: ('[H]', '[H]'), 32: ('[H]',), 33: ('[H]', '[H]'), 35: ('F',), 36: ('[H]',), 38: ('[H]',), 39: ('[H]C([H])[H]',)}",,648.7630000000014,3.533420000000004,110.77000000000001,1.0,9.0,10.0,7.0,48.0,1.0,False,0.2972972972972973,648.763,10.0,1.0,9.0,MW,RotBonds,HBD,HBA,,,,,,,,,,,,,,,,,,,none,0.9121180135201539,,,0.912118013520154,0.8744175636363632,0.8951528110724483,True,True,True,True,True,True,True,,0.8951528110724483,0.895,8
5,LN02166309_3370,LN02166309_3370,CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5Cc6ccc(O)cc6[C@H](O)C5)cc4F)CC2)n3C)c(=O)c1,-13.479351716017831,r_i_docking_score,,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)N1CCc2ccccc2C1,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)N1CCc2ccccc2C1,CC1CCCCC1C1CCCC2CC(CC3CCC(C4CCC(C(C)C5CCC6CCCCC6C5)CC4)CC3)CC21,R1=[H]O | R2=[H] | R3=[H] | R5=[H] | R7=[H].[H]O | R8=[H].[H] | R9=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],"{0: ('[H]O',), 1: ('[H]',), 2: ('[H]',), 4: ('[H]',), 6: ('[H]', '[H]O'), 7: ('[H]', '[H]'), 8: ('[H]', '[H]'), 10: ('[H]',), 11: ('[H]',), 16: ('[H]C([H])[H]',), 18: ('[H]',), 20: ('[H]',), 21: ('[H]',), 22: ('[H]NC([H])([H])[H]',), 23: ('[H]',), 26: ('[H]', '[H]C([H])[H]'), 28: ('[H]', '[H]'), 29: ('[H]', '[H]'), 31: ('[H]',), 32: ('[H]', '[H]'), 34: ('F',), 35: ('[H]',), 37: ('[H]',), 38: ('[H]C([H])[H]',)}",,662.7660000000014,5.458720000000004,115.86000000000001,3.0,9.0,12.0,7.0,49.0,0.0,True,0.2894736842105263,662.766,12.0,3.0,9.0,MW,RotBonds,HBD,HBA,,,,,,,,,,,,,,,,,,,none,0.9068133500652273,,,0.9068133500652273,0.7850376727272722,0.8520142952631475,True,True,True,True,True,True,True,,0.8520142952631475,0.852,9
482,EN300-206797_5238,EN300-206797_5238,CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCN(c6cc[nH+]c7ccccc67)CC5)cc4F)CC2)n3C)c(=O)c1,-13.391847197578809,r_i_docking_score,,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)N1CCN(c2cc[nH+]c3ccccc23)CC1,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)N1CCN(c2cc[nH+]c3ccccc23)CC1,CC1CCCCC1C1CCCC2CC(CC3CCC(C4CCC(C(C)C5CCC(C6CCCC7CCCCC76)CC5)CC4)CC3)CC21,R1=[H] | R2=[H] | R3=[H] | R6=[H] | R7=[H] | R8=[H] | R10=[H] | R12=[H].[H] | R13=[H].[H] | R15=[H].[H] | R16=[H].[H] | R17=[H] | R18=[H] | R23=[H]C([H])[H] | R25=[H] | R27=[H] | R28=[H] | R29=[H]NC([H])([H])[H] | R30=[H] | R33=[H].[H]C([H])[H] | R35=[H].[H] | R36=[H].[H] | R38=[H] | R39=[H].[H] | R41=F | R42=[H] | R44=[H] | R45=[H]C([H])[H],"{0: ('[H]',), 1: ('[H]',), 2: ('[H]',), 5: ('[H]',), 6: ('[H]',), 7: ('[H]',), 9: ('[H]',), 11: ('[H]', '[H]'), 12: ('[H]', '[H]'), 14: ('[H]', '[H]'), 15: ('[H]', '[H]'), 16: ('[H]',), 17: ('[H]',), 22: ('[H]C([H])[H]',), 24: ('[H]',), 26: ('[H]',), 27: ('[H]',), 28: ('[H]NC([H])([H])[H]',), 29: ('[H]',), 32: ('[H]', '[H]C([H])[H]'), 34: ('[H]', '[H]'), 35: ('[H]', '[H]'), 37: ('[H]',), 38: ('[H]', '[H]'), 40: ('F',), 41: ('[H]',), 43: ('[H]',), 44: ('[H]C([H])[H]',)}",,711.8660000000013,5.993420000000005,92.78,2.0,8.0,11.0,8.0,53.0,1.0,False,0.2857142857142857,711.866,11.0,2.0,8.0,MW,RotBonds,HBD,HBA,,,,,,,,,,,,,,,,,,,none,0.8961639993740909,,,0.8961639993740909,0.7791901727272722,0.8435257773830225,True,True,True,True,True,True,True,,0.8435257773830225,0.844,10
483,EN300-26975844_18860,EN300-26975844_18860,CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCN(c6cccc7sc(Br)cc67)CC5)cc4F)CC2)n3C)c(=O)c1,-13.325287875008474,r_i_docking_score,,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)N1CCN(c2cccc3sccc23)CC1,O=C(c1ccc(C2=CCN(Cc3cc4c(-n5ccccc5=O)ccnc4[nH]3)CC2)cc1)N1CCN(c2cccc3sccc23)CC1,CC1CCCCC1C1CCCC2CC(CC3CCC(C4CCC(C(C)C5CCC(C6CCCC7CCCC76)CC5)CC4)CC3)CC21,R1=Br | R2=[H] | R5=[H] | R6=[H] | R7=[H] | R11=[H].[H] | R12=[H].[H] | R14=[H].[H] | R15=[H].[H] | R16=[H] | R17=[H] | R22=[H]C([H])[H] | R24=[H] | R26=[H] | R27=[H] | R28=[H]NC([H])([H])[H] | R29=[H] | R32=[H].[H]C([H])[H] | R34=[H].[H] | R35=[H].[H] | R37=[H] | R38=[H].[H] | R40=F | R41=[H] | R43=[H] | R44=[H]C([H])[H],"{0: ('Br',), 1: ('[H]',), 4: ('[H]',), 5: ('[H]',), 6: ('[H]',), 10: ('[H]', '[H]'), 11: ('[H]', '[H]'), 13: ('[H]', '[H]'), 14: ('[H]', '[H]'), 15: ('[H]',), 16: ('[H]',), 21: ('[H]C([H])[H]',), 23: ('[H]',), 25: ('[H]',), 26: ('[H]',), 27: ('[H]NC([H])([H])[H]',), 28: ('[H]',), 31: ('[H]', '[H]C([H])[H]'), 33: ('[H]', '[H]'), 34: ('[H]', '[H]'), 36: ('[H]',), 37: ('[H]', '[H]'), 39: ('F',), 40: ('[H]',), 42: ('[H]',), 43: ('[H]C([H])[H]',)}",,794.7950000000008,8.00332000000001,78.64,1.0,9.0,11.0,8.0,53.0,0.0,True,0.2926829268292683,794.795,11.0,1.0,9.0,MW,RotBonds,HBD,HBA,,,,,,,,,,,,,,,,,,,none,0.8880636911790356,,,0.8880636911790357,0.7018022727272724,0.8042460528757422,True,True,True,True,True,True,True,,0.8042460528757422,0.804,11
6,LN01242627_6783,LN01242627_6783,CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCC6(CC5)CC(=O)c5ccccc5O6)cc4F)CC2)n3C)c(=O)c1,-13.296939721385453,r_i_docking_score,,O=C1CC2(CCN(C(=O)c3ccc(C4=CCN(Cc5cc6c(-n7ccccc7=O)ccnc6[nH]5)CC4)cc3)CC2)Oc2ccccc21,O=C1CC2(CCN(C(=O)c3ccc(C4=CCN(Cc5cc6c(-n7ccccc7=O)ccnc6[nH]5)CC4)cc3)CC2)Oc2ccccc21,CC1CC2(CCC(C(C)C3CCC(C4CCC(CC5CC6CCCC(C7CCCCC7C)C6C5)CC4)CC3)CC2)CC2CCCCC12,R4=[H].[H] | R6=[H] | R9=[H] | R10=[H] | R11=[H].[H] | R12=[H].[H] | R13=[H] | R14=[H].[H] | R15=[H].[H] | R17=[H] | R18=[H] | R23=[H]C([H])[H] | R25=[H] | R27=[H] | R28=[H] | R29=[H]NC([H])([H])[H] | R30=[H] | R33=[H].[H]C([H])[H] | R35=[H].[H] | R36=[H].[H] | R38=[H] | R39=[H].[H] | R41=F | R42=[H] | R44=[H] | R45=[H]C([H])[H],"{3: ('[H]', '[H]'), 5: ('[H]',), 8: ('[H]',), 9: ('[H]',), 10: ('[H]', '[H]'), 11: ('[H]', '[H]'), 12: ('[H]',), 13: ('[H]', '[H]'), 14: ('[H]', '[H]'), 16: ('[H]',), 17: ('[H]',), 22: ('[H]C([H])[H]',), 24: ('[H]',), 26: ('[H]',), 27: ('[H]',), 28: ('[H]NC([H])([H])[H]',), 29: ('[H]',), 32: ('[H]', '[H]C([H])[H]'), 34: ('[H]', '[H]'), 35: ('[H]', '[H]'), 37: ('[H]',), 38: ('[H]', '[H]'), 40: ('F',), 41: ('[H]',), 43: ('[H]',), 44: ('[H]C([H])[H]',)}",,714.8420000000013,6.703920000000006,101.69999999999999,1.0,9.0,10.0,8.0,53.0,0.0,True,0.3333333333333333,714.842,10.0,1.0,9.0,MW,RotBonds,HBD,HBA,,,,,,,,,,,,,,,,,,,none,0.8846137044267728,,,0.8846137044267728,0.7904537090909086,0.842241706525634,True,True,True,True,True,True,True,,0.842241706525634,0.842,12
