mol_id,score,interaction_count,priority_score,cluster_id,substitution_signature,smiles,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R17,R19,R21,R22,R23,R24,R27,R29,R30,R32,R33,R35,R36,R38,R39
EN300-27782160_27309,-7.972364901518036,,0.23660985788852673,,R1=[H].[H]O | R2=[H].[H] | R5=[H] | R6=[H] | R7=Br | R8=[H] | R10=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@@H](O)Cc6cc(Br)ccc65)cc4F)CC2)n3C)c(=O)c1,[H].[H]O,[H].[H],,,[H],[H],Br,[H],,[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-120511_20854,-7.9442968444996716,,0.233193959055649,,R1=[H].[H]C([H])[N+]([H])([H])[H] | R2=[H].[H] | R3=[H].[H] | R7=[H] | R8=[H] | R9=F | R10=[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@H](C[NH3+])Cc6cc(F)ccc65)cc4F)CC2)n3C)c(=O)c1,[H].[H]C([H])[N+]([H])([H])[H],[H].[H],[H].[H],,,,[H],[H],F,[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-7439283_19291,-7.930357021492442,,0.231497474503485,,R1=[H]C([H])[H] | R2=Br | R3=[H] | R4=[H] | R7=[H].[H] | R8=[H].[H] | R9=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCCc6c5ccc(Br)c6C)cc4F)CC2)n3C)c(=O)c1,[H]C([H])[H],Br,[H],[H],,,[H].[H],[H].[H],[H].[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-7365899_13749,-7.917417511797592,,0.2299227286621277,,R1=Br | R2=[H] | R3=[H] | R4=[H] | R7=[H].[H] | R8=[H].[H] | R9=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCCc6c(Br)cccc65)cc4F)CC2)n3C)c(=O)c1,Br,[H],[H],[H],,,[H].[H],[H].[H],[H].[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-822182_11576,-7.852760041036429,,0.22205387693628967,,R1=[H].[H][N+]([H])[H] | R2=[H].[H] | R4=[H].[H] | R5=[H] | R8=[H] | R9=[H] | R10=[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CC[C@H]([NH3+])c6ccccc65)cc4F)CC2)n3C)c(=O)c1,[H].[H][N+]([H])[H],[H].[H],,[H].[H],[H],,,[H],[H],[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
LN00293841_2806,-7.732137578412584,,0.2073740532126156,,R3=[H].[H] | R5=[H] | R6=[H].[H] | R7=[H] | R8=[H]C([H])[H].[H]C([H])[H] | R9=[H] | R10=[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCC(C)(C)c6ccccc65)cc4F)CC2)n3C)c(=O)c1,,,[H].[H],,[H],[H].[H],[H],[H]C([H])[H].[H]C([H])[H],[H],[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-213161_29011,-7.727688057276072,,0.20683254390731765,,R1=[H].[H]C([H])([H])C([H])([H])S | R2=[H].[H] | R3=[H].[H] | R6=[H] | R7=[H] | R8=[H] | R9=[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CCS[C@H]1CCN(C(=O)c2cc(C)c(C3=CCN([C@@H](C)c4cc5c(-n6ccc(NC)cc6=O)ccnc5n4C)CC3)c(F)c2)c2ccccc21,[H].[H]C([H])([H])C([H])([H])S,[H].[H],[H].[H],,,[H],[H],[H],[H],,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
LN00173493_5283,-7.720676455666194,,0.2059792279211018,,R3=[H].[H] | R5=[H] | R6=[H].[H] | R7=[H] | R8=[H].[H] | R9=[H] | R10=[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCCc6ccccc65)cc4F)CC2)n3C)c(=O)c1,,,[H].[H],,[H],[H].[H],[H],[H].[H],[H],[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-4428838_18011,-7.700921884431379,,0.20357508513413047,,R1=[H].[H]O | R2=[H].[H] | R5=[H] | R6=[H] | R7=F | R8=[H] | R10=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5C[C@@H](O)Cc6cc(F)ccc65)cc4F)CC2)n3C)c(=O)c1,[H].[H]O,[H].[H],,,[H],[H],F,[H],,[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
LN04637083_2867,-7.630451320624298,,0.19499877661005485,,R1=F | R2=F | R4=[H] | R6=[H].[H] | R7=[H] | R9=[H].[H] | R10=[H].[H]C([H])[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5c6ccc(F)c(F)c6CC[C@H]5C)cc4F)CC2)n3C)c(=O)c1,F,F,,[H],,[H].[H],[H],,[H].[H],[H].[H]C([H])[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
LN00183140_6728,-7.53707226865743,,0.1836344917783634,,R1=F | R2=[H] | R3=[H] | R5=[H] | R7=[H].[H] | R9=[H].[H] | R10=[H].[H]C([H])[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5c6ccc(F)cc6CC[C@H]5C)cc4F)CC2)n3C)c(=O)c1,F,[H],[H],,[H],,[H].[H],,[H].[H],[H].[H]C([H])[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-53290620_46691,-7.50068409817831,,0.179206030307416,,R1=[H].[H]C(C([H])([H])[H])[N+]([H])([H])[H] | R2=[H].[H] | R4=[H].[H] | R5=[H] | R8=[H] | R9=[H] | R10=[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CC[C@@H]([C@H](C)[NH3+])c6ccccc65)cc4F)CC2)n3C)c(=O)c1,[H].[H]C(C([H])([H])[H])[N+]([H])([H])[H],[H].[H],,[H].[H],[H],,,[H],[H],[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-53288283_47353,-7.488419638872896,,0.17771343849032561,,R1=F | R2=[H] | R5=[H].[H] | R6=[H].[H] | R7=[H].[H] | R9=F | R10=Cl | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCCc6c5cc(F)c(Cl)c6F)cc4F)CC2)n3C)c(=O)c1,F,[H],,,[H].[H],[H].[H],[H].[H],,F,Cl,[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
EN300-3165773_13286,-7.409156593799263,,0.16806707989200143,,R1=Br | R2=[H] | R3=Br | R5=[H].[H] | R6=[H].[H] | R7=[H].[H] | R10=[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCCc6c(Br)cc(Br)cc65)cc4F)CC2)n3C)c(=O)c1,Br,[H],Br,,[H].[H],[H].[H],[H].[H],,,[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
LN04629974_6982,-6.935478900231269,,0.11042022961089903,,R1=F | R2=[H] | R3=[H] | R5=[H] | R8=[H].[H]C([H])[H] | R9=[H].[H] | R10=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5c6cc(F)ccc6CC[C@H]5C)cc4F)CC2)n3C)c(=O)c1,F,[H],[H],,[H],,,[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
LN01252507_3507,-6.68633933940141,,0.08009980043029874,,R1=F | R3=[H] | R6=[H] | R7=[H].[H] | R8=[H] | R9=[H]C([H])[H].[H]C([H])[H] | R10=[H].[H] | R11=[H] | R12=[H] | R17=[H]C([H])[H] | R19=[H] | R21=[H] | R22=[H] | R23=[H]NC([H])([H])[H] | R24=[H] | R27=[H].[H]C([H])[H] | R29=[H].[H] | R30=[H].[H] | R32=[H] | R33=[H].[H] | R35=F | R36=[H] | R38=[H] | R39=[H]C([H])[H],CNc1ccn(-c2ccnc3c2cc([C@H](C)N2CC=C(c4c(C)cc(C(=O)N5CCC(C)(C)c6cccc(F)c65)cc4F)CC2)n3C)c(=O)c1,F,,[H],,,[H],[H].[H],[H],[H]C([H])[H].[H]C([H])[H],[H].[H],[H],[H],[H]C([H])[H],[H],[H],[H],[H]NC([H])([H])[H],[H],[H].[H]C([H])[H],[H].[H],[H].[H],[H],[H].[H],F,[H],[H],[H]C([H])[H]
